-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.801, 80.200, 0.018,  0.148
-183.801, 80.199, 0.017,  0.181
-183.801, 80.199, 0.018,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.034,  0.280
-183.800, 80.195, 0.072,  0.313
-183.798, 80.189, 0.196,  0.346
-183.796, 80.179, 0.299,  0.379
-183.792, 80.160, 0.593,  0.412
-183.787, 80.133, 0.823,  0.445
-183.780, 80.099, 1.021,  0.478
-183.773, 80.060, 1.199,  0.511
-183.765, 80.015, 1.360,  0.544
-183.757, 79.965, 1.506,  0.577
-183.749, 79.912, 1.628,  0.610
-183.740, 79.855, 1.724,  0.643
-183.731, 79.797, 1.779,  0.676
-183.723, 79.738, 1.790,  0.709
-183.714, 79.680, 1.782,  0.742
-183.706, 79.623, 1.759,  0.775
-183.698, 79.566, 1.726,  0.808
-183.691, 79.511, 1.685,  0.841
-183.683, 79.458, 1.638,  0.874
-183.676, 79.406, 1.586,  0.907
-183.669, 79.356, 1.533,  0.940
-183.663, 79.307, 1.485,  0.973
-183.656, 79.260, 1.446,  1.006
-183.650, 79.214, 1.420,  1.039
-183.644, 79.168, 1.408,  1.072
-183.638, 79.122, 1.416,  1.105
-183.632, 79.074, 1.444,  1.138
-183.625, 79.025, 1.493,  1.171
-183.619, 78.974, 1.558,  1.204
-183.613, 78.920, 1.631,  1.237
-183.606, 78.864, 1.705,  1.270
-183.599, 78.805, 1.766,  1.303
-183.593, 78.746, 1.798,  1.336
-183.586, 78.686, 1.808,  1.369
-183.579, 78.626, 1.801,  1.402
-183.572, 78.567, 1.781,  1.435
-183.566, 78.509, 1.749,  1.468
-183.559, 78.453, 1.709,  1.501
-183.553, 78.398, 1.665,  1.534
-183.547, 78.344, 1.623,  1.567
-183.541, 78.292, 1.587,  1.600
-183.536, 78.240, 1.561,  1.633
-183.530, 78.189, 1.547,  1.666
-183.524, 78.138, 1.549,  1.699
-183.519, 78.086, 1.570,  1.732
